Asset,Model,MSE,MAE,AIC,BIC,LogLikelihood,Data_Source,Source_File,Sheet_Name
EURUSD,sGARCH,7.87003963101355e-05,0.00619446654865591,-34377.1707727693,-34351.5101309059,17192.5853863846,NF_GARCH_Chrono,results/consolidated/NF_GARCH_Results_manual.xlsx,Chrono_Split_NF_GARCH
GBPUSD,sGARCH,4.11087360487004e-05,0.00452949163560248,-33851.7540406431,-33826.0933987797,16929.8770203215,NF_GARCH_Chrono,results/consolidated/NF_GARCH_Results_manual.xlsx,Chrono_Split_NF_GARCH
GBPCNY,sGARCH,9.09855798606352e-05,0.00655689862585321,-34000.1819108926,-33974.5212690292,17004.0909554463,NF_GARCH_Chrono,results/consolidated/NF_GARCH_Results_manual.xlsx,Chrono_Split_NF_GARCH
USDZAR,sGARCH,0.000280752898894756,0.0116003965519534,-28584.7086508759,-28559.0480090125,14296.3543254379,NF_GARCH_Chrono,results/consolidated/NF_GARCH_Results_manual.xlsx,Chrono_Split_NF_GARCH
GBPZAR,sGARCH,0.000234628334629025,0.0105766833994818,-29360.6227231552,-29334.9620812918,14684.3113615776,NF_GARCH_Chrono,results/consolidated/NF_GARCH_Results_manual.xlsx,Chrono_Split_NF_GARCH
EURZAR,sGARCH,0.000217879328432688,0.0102730463391164,-29599.374907485,-29573.7142656216,14803.6874537425,NF_GARCH_Chrono,results/consolidated/NF_GARCH_Results_manual.xlsx,Chrono_Split_NF_GARCH
NVDA,sGARCH,0.00268872193384273,0.0350785835350776,-19072.1926536163,-19046.5320117529,9540.09632680814,NF_GARCH_Chrono,results/consolidated/NF_GARCH_Results_manual.xlsx,Chrono_Split_NF_GARCH
MSFT,sGARCH,0.000667785340226455,0.0176466890767945,-24597.7607929695,-24572.1001511061,12302.8803964848,NF_GARCH_Chrono,results/consolidated/NF_GARCH_Results_manual.xlsx,Chrono_Split_NF_GARCH
PG,sGARCH,0.000299105283828666,0.0116270060266031,-28414.6416025701,-28388.9809607067,14211.320801285,NF_GARCH_Chrono,results/consolidated/NF_GARCH_Results_manual.xlsx,Chrono_Split_NF_GARCH
CAT,sGARCH,0.000970547575633822,0.0210262480563916,-23080.1961523215,-23054.5355104581,11544.0980761608,NF_GARCH_Chrono,results/consolidated/NF_GARCH_Results_manual.xlsx,Chrono_Split_NF_GARCH
WMT,sGARCH,0.000388010821595819,0.0133043833105053,-26987.0491061976,-26961.3884643342,13497.5245530988,NF_GARCH_Chrono,results/consolidated/NF_GARCH_Results_manual.xlsx,Chrono_Split_NF_GARCH
AMZN,sGARCH,0.0015402085205233,0.0260959867505983,-21218.7934264637,-21193.1327846003,10613.3967132318,NF_GARCH_Chrono,results/consolidated/NF_GARCH_Results_manual.xlsx,Chrono_Split_NF_GARCH
EURUSD,sGARCH,4.16211056314152e-05,0.0047125154123399,-34583.5588202508,-34551.4830179215,17296.7794101254,NF_GARCH_Chrono,results/consolidated/NF_GARCH_Results_manual.xlsx,Chrono_Split_NF_GARCH
GBPUSD,sGARCH,5.5313535734898e-05,0.00533984676011531,-34121.8216999079,-34089.7458975786,17065.9108499539,NF_GARCH_Chrono,results/consolidated/NF_GARCH_Results_manual.xlsx,Chrono_Split_NF_GARCH
GBPCNY,sGARCH,5.23220458678592e-05,0.00524894519407806,-34205.385821607,-34173.3100192778,17107.6929108035,NF_GARCH_Chrono,results/consolidated/NF_GARCH_Results_manual.xlsx,Chrono_Split_NF_GARCH
USDZAR,sGARCH,0.000199773768740151,0.0102562744900235,-28673.9875229997,-28641.9117206705,14341.9937614999,NF_GARCH_Chrono,results/consolidated/NF_GARCH_Results_manual.xlsx,Chrono_Split_NF_GARCH
GBPZAR,sGARCH,0.00015810447500178,0.00914134412142851,-29517.0242242862,-29484.9484219569,14763.5121121431,NF_GARCH_Chrono,results/consolidated/NF_GARCH_Results_manual.xlsx,Chrono_Split_NF_GARCH
EURZAR,sGARCH,0.000150464322575609,0.00891658457187333,-29783.026599145,-29750.9507968157,14896.5132995725,NF_GARCH_Chrono,results/consolidated/NF_GARCH_Results_manual.xlsx,Chrono_Split_NF_GARCH
NVDA,sGARCH,0.00118786933999838,0.0247173978623452,-19775.9901979821,-19743.9143956528,9892.99509899103,NF_GARCH_Chrono,results/consolidated/NF_GARCH_Results_manual.xlsx,Chrono_Split_NF_GARCH
MSFT,sGARCH,0.000371303632192122,0.0135689349034507,-25210.0896254276,-25178.0138230983,12610.0448127138,NF_GARCH_Chrono,results/consolidated/NF_GARCH_Results_manual.xlsx,Chrono_Split_NF_GARCH
PG,sGARCH,0.000174086938233389,0.00911333940207451,-29009.1495025126,-28977.0737001834,14509.5747512563,NF_GARCH_Chrono,results/consolidated/NF_GARCH_Results_manual.xlsx,Chrono_Split_NF_GARCH
CAT,sGARCH,0.00051033149925327,0.0160478398082249,-23544.5795714154,-23512.5037690862,11777.2897857077,NF_GARCH_Chrono,results/consolidated/NF_GARCH_Results_manual.xlsx,Chrono_Split_NF_GARCH
WMT,sGARCH,0.00021631485241183,0.0101906247055399,-27919.047770074,-27886.9719677447,13964.523885037,NF_GARCH_Chrono,results/consolidated/NF_GARCH_Results_manual.xlsx,Chrono_Split_NF_GARCH
AMZN,sGARCH,0.000688625560368117,0.0181764275359042,-22351.8020773031,-22319.7262749738,11180.9010386515,NF_GARCH_Chrono,results/consolidated/NF_GARCH_Results_manual.xlsx,Chrono_Split_NF_GARCH
EURUSD,gjrGARCH,4.13002135453205e-05,0.00469408431494736,-34582.5142602016,-34544.0232974065,17297.2571301008,NF_GARCH_Chrono,results/consolidated/NF_GARCH_Results_manual.xlsx,Chrono_Split_NF_GARCH
GBPUSD,gjrGARCH,5.349107517056e-05,0.005246451849449,-34124.7483549712,-34086.2573921761,17068.3741774856,NF_GARCH_Chrono,results/consolidated/NF_GARCH_Results_manual.xlsx,Chrono_Split_NF_GARCH
GBPCNY,gjrGARCH,5.10992956752979e-05,0.0051829201593857,-34215.5904892624,-34177.0995264673,17113.7952446312,NF_GARCH_Chrono,results/consolidated/NF_GARCH_Results_manual.xlsx,Chrono_Split_NF_GARCH
USDZAR,gjrGARCH,0.000198380499331384,0.0102745254773247,-28687.4162221169,-28648.9252593218,14349.7081110585,NF_GARCH_Chrono,results/consolidated/NF_GARCH_Results_manual.xlsx,Chrono_Split_NF_GARCH
GBPZAR,gjrGARCH,0.000157764658578632,0.00915073307962846,-29523.0161174753,-29484.5251546802,14767.5080587376,NF_GARCH_Chrono,results/consolidated/NF_GARCH_Results_manual.xlsx,Chrono_Split_NF_GARCH
EURZAR,gjrGARCH,0.000149994025868357,0.00892367943210146,-29796.2238095339,-29757.7328467388,14904.1119047669,NF_GARCH_Chrono,results/consolidated/NF_GARCH_Results_manual.xlsx,Chrono_Split_NF_GARCH
NVDA,gjrGARCH,0.00114179510799266,0.0241481360493949,-19808.017640428,-19769.5266776329,9910.00882021398,NF_GARCH_Chrono,results/consolidated/NF_GARCH_Results_manual.xlsx,Chrono_Split_NF_GARCH
MSFT,gjrGARCH,0.000373633803812178,0.0136043238954119,-25241.610057291,-25203.1190944959,12626.8050286455,NF_GARCH_Chrono,results/consolidated/NF_GARCH_Results_manual.xlsx,Chrono_Split_NF_GARCH
PG,gjrGARCH,0.000171209178297809,0.00902264141529891,-29039.420367809,-29000.9294050139,14525.7101839045,NF_GARCH_Chrono,results/consolidated/NF_GARCH_Results_manual.xlsx,Chrono_Split_NF_GARCH
CAT,gjrGARCH,0.000508070117683416,0.016007182526426,-23583.0816195265,-23544.5906567314,11797.5408097632,NF_GARCH_Chrono,results/consolidated/NF_GARCH_Results_manual.xlsx,Chrono_Split_NF_GARCH
WMT,gjrGARCH,0.000213644152083136,0.0101085229508642,-27935.3589610188,-27896.8679982237,13973.6794805094,NF_GARCH_Chrono,results/consolidated/NF_GARCH_Results_manual.xlsx,Chrono_Split_NF_GARCH
AMZN,gjrGARCH,0.00070012994663714,0.0183027855783028,-22400.0835745185,-22361.5926117234,11206.0417872593,NF_GARCH_Chrono,results/consolidated/NF_GARCH_Results_manual.xlsx,Chrono_Split_NF_GARCH
EURUSD,eGARCH,0.000107968615012946,0.00909810100527977,49151.6959605564,49190.1869233515,-24569.8479802782,NF_GARCH_Chrono,results/consolidated/NF_GARCH_Results_manual.xlsx,Chrono_Split_NF_GARCH
NVDA,eGARCH,0.00145555602748395,0.0275136128416702,-19334.5137728707,-19296.0228100756,9673.25688643535,NF_GARCH_Chrono,results/consolidated/NF_GARCH_Results_manual.xlsx,Chrono_Split_NF_GARCH
CAT,eGARCH,3.54256054723052,1.88204458760994,52386.7493445408,52425.2403073359,-26187.3746722704,NF_GARCH_Chrono,results/consolidated/NF_GARCH_Results_manual.xlsx,Chrono_Split_NF_GARCH
EURUSD,fGARCH,3.76305936305763e-05,0.00447337408615617,-34586.3649111898,-34547.8739483947,17299.1824555949,NF_GARCH_Chrono,results/consolidated/NF_GARCH_Results_manual.xlsx,Chrono_Split_NF_GARCH
GBPUSD,fGARCH,4.67110949008318e-05,0.00487937247503278,-34143.5793159374,-34105.0883531423,17077.7896579687,NF_GARCH_Chrono,results/consolidated/NF_GARCH_Results_manual.xlsx,Chrono_Split_NF_GARCH
GBPCNY,fGARCH,4.65353344511149e-05,0.00494098464367139,-34229.3263959653,-34190.8354331702,17120.6631979826,NF_GARCH_Chrono,results/consolidated/NF_GARCH_Results_manual.xlsx,Chrono_Split_NF_GARCH
USDZAR,fGARCH,0.00017388049731869,0.00976613540487909,-28681.2154638213,-28642.7245010262,14346.6077319106,NF_GARCH_Chrono,results/consolidated/NF_GARCH_Results_manual.xlsx,Chrono_Split_NF_GARCH
GBPZAR,fGARCH,0.000140618533396537,0.00874639440781974,-29514.4191158516,-29475.9281530565,14763.2095579258,NF_GARCH_Chrono,results/consolidated/NF_GARCH_Results_manual.xlsx,Chrono_Split_NF_GARCH
EURZAR,fGARCH,0.000138028928148255,0.00864399731620393,-29791.0983563139,-29752.6073935188,14901.549178157,NF_GARCH_Chrono,results/consolidated/NF_GARCH_Results_manual.xlsx,Chrono_Split_NF_GARCH
NVDA,fGARCH,0.00111954542709036,0.0238029111472772,-19861.1615959475,-19822.6706331524,9936.58079797373,NF_GARCH_Chrono,results/consolidated/NF_GARCH_Results_manual.xlsx,Chrono_Split_NF_GARCH
MSFT,fGARCH,0.000363570975326294,0.0133331599883088,-25285.28099443,-25246.7900316349,12648.640497215,NF_GARCH_Chrono,results/consolidated/NF_GARCH_Results_manual.xlsx,Chrono_Split_NF_GARCH
PG,fGARCH,0.000165680433011315,0.00880607187714391,-29068.4703612036,-29029.9793984085,14540.2351806018,NF_GARCH_Chrono,results/consolidated/NF_GARCH_Results_manual.xlsx,Chrono_Split_NF_GARCH
CAT,fGARCH,0.000486572637232474,0.0155644367127381,-23648.64333194,-23610.1523691449,11830.32166597,NF_GARCH_Chrono,results/consolidated/NF_GARCH_Results_manual.xlsx,Chrono_Split_NF_GARCH
WMT,fGARCH,0.000202432094453778,0.00975823806543042,-27987.1546403849,-27948.6636775898,13999.5773201925,NF_GARCH_Chrono,results/consolidated/NF_GARCH_Results_manual.xlsx,Chrono_Split_NF_GARCH
AMZN,fGARCH,0.000674206421914512,0.0178011068222923,-22488.301313012,-22449.8103502169,11250.150656506,NF_GARCH_Chrono,results/consolidated/NF_GARCH_Results_manual.xlsx,Chrono_Split_NF_GARCH
NF_GARCH,eGARCH,1.18137469062434,0.639552100485629,27401.3105107421,27439.8014735372,-13694.6552553711,NF_GARCH_Summary,results/consolidated/NF_GARCH_Results_manual.xlsx,NF_GARCH_Summary
NF_GARCH,fGARCH,0.000299617747572895,0.0108763485789128,-28273.7513163331,-28235.260353538,14142.8756581666,NF_GARCH_Summary,results/consolidated/NF_GARCH_Results_manual.xlsx,NF_GARCH_Summary
NF_GARCH,gjrGARCH,0.000313376006222991,0.0112221655607113,-28244.7567895128,-28206.2658267176,14128.3783947564,NF_GARCH_Summary,results/consolidated/NF_GARCH_Results_manual.xlsx,NF_GARCH_Summary
NF_GARCH,sGARCH,0.000624869562485561,0.0145424899880528,-27762.03722833,-27736.3765864666,13885.018614165,NF_GARCH_Summary,results/consolidated/NF_GARCH_Results_manual.xlsx,NF_GARCH_Summary
NF_GARCH,sGARCH,0.000317177589667402,0.0112858395639498,-28224.6219527426,-28192.5461504133,14117.3109763713,NF_GARCH_Summary,results/consolidated/NF_GARCH_Results_manual.xlsx,NF_GARCH_Summary
EURUSD,sGARCH,7.87003963101355e-05,0.00619446654865591,-34377.1707727693,-34351.5101309059,17192.5853863846,NF_GARCH_Chrono,results/Final/NF_GARCH_Results_manual.xlsx,Chrono_Split_NF_GARCH
GBPUSD,sGARCH,4.11087360487004e-05,0.00452949163560248,-33851.7540406431,-33826.0933987797,16929.8770203215,NF_GARCH_Chrono,results/Final/NF_GARCH_Results_manual.xlsx,Chrono_Split_NF_GARCH
GBPCNY,sGARCH,9.09855798606352e-05,0.00655689862585321,-34000.1819108926,-33974.5212690292,17004.0909554463,NF_GARCH_Chrono,results/Final/NF_GARCH_Results_manual.xlsx,Chrono_Split_NF_GARCH
USDZAR,sGARCH,0.000280752898894756,0.0116003965519534,-28584.7086508759,-28559.0480090125,14296.3543254379,NF_GARCH_Chrono,results/Final/NF_GARCH_Results_manual.xlsx,Chrono_Split_NF_GARCH
GBPZAR,sGARCH,0.000234628334629025,0.0105766833994818,-29360.6227231552,-29334.9620812918,14684.3113615776,NF_GARCH_Chrono,results/Final/NF_GARCH_Results_manual.xlsx,Chrono_Split_NF_GARCH
EURZAR,sGARCH,0.000217879328432688,0.0102730463391164,-29599.374907485,-29573.7142656216,14803.6874537425,NF_GARCH_Chrono,results/Final/NF_GARCH_Results_manual.xlsx,Chrono_Split_NF_GARCH
NVDA,sGARCH,0.00268872193384273,0.0350785835350776,-19072.1926536163,-19046.5320117529,9540.09632680814,NF_GARCH_Chrono,results/Final/NF_GARCH_Results_manual.xlsx,Chrono_Split_NF_GARCH
MSFT,sGARCH,0.000667785340226455,0.0176466890767945,-24597.7607929695,-24572.1001511061,12302.8803964848,NF_GARCH_Chrono,results/Final/NF_GARCH_Results_manual.xlsx,Chrono_Split_NF_GARCH
PG,sGARCH,0.000299105283828666,0.0116270060266031,-28414.6416025701,-28388.9809607067,14211.320801285,NF_GARCH_Chrono,results/Final/NF_GARCH_Results_manual.xlsx,Chrono_Split_NF_GARCH
CAT,sGARCH,0.000970547575633822,0.0210262480563916,-23080.1961523215,-23054.5355104581,11544.0980761608,NF_GARCH_Chrono,results/Final/NF_GARCH_Results_manual.xlsx,Chrono_Split_NF_GARCH
WMT,sGARCH,0.000388010821595819,0.0133043833105053,-26987.0491061976,-26961.3884643342,13497.5245530988,NF_GARCH_Chrono,results/Final/NF_GARCH_Results_manual.xlsx,Chrono_Split_NF_GARCH
AMZN,sGARCH,0.0015402085205233,0.0260959867505983,-21218.7934264637,-21193.1327846003,10613.3967132318,NF_GARCH_Chrono,results/Final/NF_GARCH_Results_manual.xlsx,Chrono_Split_NF_GARCH
EURUSD,sGARCH,4.16211056314152e-05,0.0047125154123399,-34583.5588202508,-34551.4830179215,17296.7794101254,NF_GARCH_Chrono,results/Final/NF_GARCH_Results_manual.xlsx,Chrono_Split_NF_GARCH
GBPUSD,sGARCH,5.5313535734898e-05,0.00533984676011531,-34121.8216999079,-34089.7458975786,17065.9108499539,NF_GARCH_Chrono,results/Final/NF_GARCH_Results_manual.xlsx,Chrono_Split_NF_GARCH
GBPCNY,sGARCH,5.23220458678592e-05,0.00524894519407806,-34205.385821607,-34173.3100192778,17107.6929108035,NF_GARCH_Chrono,results/Final/NF_GARCH_Results_manual.xlsx,Chrono_Split_NF_GARCH
USDZAR,sGARCH,0.000199773768740151,0.0102562744900235,-28673.9875229997,-28641.9117206705,14341.9937614999,NF_GARCH_Chrono,results/Final/NF_GARCH_Results_manual.xlsx,Chrono_Split_NF_GARCH
GBPZAR,sGARCH,0.00015810447500178,0.00914134412142851,-29517.0242242862,-29484.9484219569,14763.5121121431,NF_GARCH_Chrono,results/Final/NF_GARCH_Results_manual.xlsx,Chrono_Split_NF_GARCH
EURZAR,sGARCH,0.000150464322575609,0.00891658457187333,-29783.026599145,-29750.9507968157,14896.5132995725,NF_GARCH_Chrono,results/Final/NF_GARCH_Results_manual.xlsx,Chrono_Split_NF_GARCH
NVDA,sGARCH,0.00118786933999838,0.0247173978623452,-19775.9901979821,-19743.9143956528,9892.99509899103,NF_GARCH_Chrono,results/Final/NF_GARCH_Results_manual.xlsx,Chrono_Split_NF_GARCH
MSFT,sGARCH,0.000371303632192122,0.0135689349034507,-25210.0896254276,-25178.0138230983,12610.0448127138,NF_GARCH_Chrono,results/Final/NF_GARCH_Results_manual.xlsx,Chrono_Split_NF_GARCH
PG,sGARCH,0.000174086938233389,0.00911333940207451,-29009.1495025126,-28977.0737001834,14509.5747512563,NF_GARCH_Chrono,results/Final/NF_GARCH_Results_manual.xlsx,Chrono_Split_NF_GARCH
CAT,sGARCH,0.00051033149925327,0.0160478398082249,-23544.5795714154,-23512.5037690862,11777.2897857077,NF_GARCH_Chrono,results/Final/NF_GARCH_Results_manual.xlsx,Chrono_Split_NF_GARCH
WMT,sGARCH,0.00021631485241183,0.0101906247055399,-27919.047770074,-27886.9719677447,13964.523885037,NF_GARCH_Chrono,results/Final/NF_GARCH_Results_manual.xlsx,Chrono_Split_NF_GARCH
AMZN,sGARCH,0.000688625560368117,0.0181764275359042,-22351.8020773031,-22319.7262749738,11180.9010386515,NF_GARCH_Chrono,results/Final/NF_GARCH_Results_manual.xlsx,Chrono_Split_NF_GARCH
EURUSD,gjrGARCH,4.13002135453205e-05,0.00469408431494736,-34582.5142602016,-34544.0232974065,17297.2571301008,NF_GARCH_Chrono,results/Final/NF_GARCH_Results_manual.xlsx,Chrono_Split_NF_GARCH
GBPUSD,gjrGARCH,5.349107517056e-05,0.005246451849449,-34124.7483549712,-34086.2573921761,17068.3741774856,NF_GARCH_Chrono,results/Final/NF_GARCH_Results_manual.xlsx,Chrono_Split_NF_GARCH
GBPCNY,gjrGARCH,5.10992956752979e-05,0.0051829201593857,-34215.5904892624,-34177.0995264673,17113.7952446312,NF_GARCH_Chrono,results/Final/NF_GARCH_Results_manual.xlsx,Chrono_Split_NF_GARCH
USDZAR,gjrGARCH,0.000198380499331384,0.0102745254773247,-28687.4162221169,-28648.9252593218,14349.7081110585,NF_GARCH_Chrono,results/Final/NF_GARCH_Results_manual.xlsx,Chrono_Split_NF_GARCH
GBPZAR,gjrGARCH,0.000157764658578632,0.00915073307962846,-29523.0161174753,-29484.5251546802,14767.5080587376,NF_GARCH_Chrono,results/Final/NF_GARCH_Results_manual.xlsx,Chrono_Split_NF_GARCH
EURZAR,gjrGARCH,0.000149994025868357,0.00892367943210146,-29796.2238095339,-29757.7328467388,14904.1119047669,NF_GARCH_Chrono,results/Final/NF_GARCH_Results_manual.xlsx,Chrono_Split_NF_GARCH
NVDA,gjrGARCH,0.00114179510799266,0.0241481360493949,-19808.017640428,-19769.5266776329,9910.00882021398,NF_GARCH_Chrono,results/Final/NF_GARCH_Results_manual.xlsx,Chrono_Split_NF_GARCH
MSFT,gjrGARCH,0.000373633803812178,0.0136043238954119,-25241.610057291,-25203.1190944959,12626.8050286455,NF_GARCH_Chrono,results/Final/NF_GARCH_Results_manual.xlsx,Chrono_Split_NF_GARCH
PG,gjrGARCH,0.000171209178297809,0.00902264141529891,-29039.420367809,-29000.9294050139,14525.7101839045,NF_GARCH_Chrono,results/Final/NF_GARCH_Results_manual.xlsx,Chrono_Split_NF_GARCH
CAT,gjrGARCH,0.000508070117683416,0.016007182526426,-23583.0816195265,-23544.5906567314,11797.5408097632,NF_GARCH_Chrono,results/Final/NF_GARCH_Results_manual.xlsx,Chrono_Split_NF_GARCH
WMT,gjrGARCH,0.000213644152083136,0.0101085229508642,-27935.3589610188,-27896.8679982237,13973.6794805094,NF_GARCH_Chrono,results/Final/NF_GARCH_Results_manual.xlsx,Chrono_Split_NF_GARCH
AMZN,gjrGARCH,0.00070012994663714,0.0183027855783028,-22400.0835745185,-22361.5926117234,11206.0417872593,NF_GARCH_Chrono,results/Final/NF_GARCH_Results_manual.xlsx,Chrono_Split_NF_GARCH
EURUSD,eGARCH,0.000107968615012946,0.00909810100527977,49151.6959605564,49190.1869233515,-24569.8479802782,NF_GARCH_Chrono,results/Final/NF_GARCH_Results_manual.xlsx,Chrono_Split_NF_GARCH
NVDA,eGARCH,0.00145555602748395,0.0275136128416702,-19334.5137728707,-19296.0228100756,9673.25688643535,NF_GARCH_Chrono,results/Final/NF_GARCH_Results_manual.xlsx,Chrono_Split_NF_GARCH
CAT,eGARCH,3.54256054723052,1.88204458760994,52386.7493445408,52425.2403073359,-26187.3746722704,NF_GARCH_Chrono,results/Final/NF_GARCH_Results_manual.xlsx,Chrono_Split_NF_GARCH
EURUSD,fGARCH,3.76305936305763e-05,0.00447337408615617,-34586.3649111898,-34547.8739483947,17299.1824555949,NF_GARCH_Chrono,results/Final/NF_GARCH_Results_manual.xlsx,Chrono_Split_NF_GARCH
GBPUSD,fGARCH,4.67110949008318e-05,0.00487937247503278,-34143.5793159374,-34105.0883531423,17077.7896579687,NF_GARCH_Chrono,results/Final/NF_GARCH_Results_manual.xlsx,Chrono_Split_NF_GARCH
GBPCNY,fGARCH,4.65353344511149e-05,0.00494098464367139,-34229.3263959653,-34190.8354331702,17120.6631979826,NF_GARCH_Chrono,results/Final/NF_GARCH_Results_manual.xlsx,Chrono_Split_NF_GARCH
USDZAR,fGARCH,0.00017388049731869,0.00976613540487909,-28681.2154638213,-28642.7245010262,14346.6077319106,NF_GARCH_Chrono,results/Final/NF_GARCH_Results_manual.xlsx,Chrono_Split_NF_GARCH
GBPZAR,fGARCH,0.000140618533396537,0.00874639440781974,-29514.4191158516,-29475.9281530565,14763.2095579258,NF_GARCH_Chrono,results/Final/NF_GARCH_Results_manual.xlsx,Chrono_Split_NF_GARCH
EURZAR,fGARCH,0.000138028928148255,0.00864399731620393,-29791.0983563139,-29752.6073935188,14901.549178157,NF_GARCH_Chrono,results/Final/NF_GARCH_Results_manual.xlsx,Chrono_Split_NF_GARCH
NVDA,fGARCH,0.00111954542709036,0.0238029111472772,-19861.1615959475,-19822.6706331524,9936.58079797373,NF_GARCH_Chrono,results/Final/NF_GARCH_Results_manual.xlsx,Chrono_Split_NF_GARCH
MSFT,fGARCH,0.000363570975326294,0.0133331599883088,-25285.28099443,-25246.7900316349,12648.640497215,NF_GARCH_Chrono,results/Final/NF_GARCH_Results_manual.xlsx,Chrono_Split_NF_GARCH
PG,fGARCH,0.000165680433011315,0.00880607187714391,-29068.4703612036,-29029.9793984085,14540.2351806018,NF_GARCH_Chrono,results/Final/NF_GARCH_Results_manual.xlsx,Chrono_Split_NF_GARCH
CAT,fGARCH,0.000486572637232474,0.0155644367127381,-23648.64333194,-23610.1523691449,11830.32166597,NF_GARCH_Chrono,results/Final/NF_GARCH_Results_manual.xlsx,Chrono_Split_NF_GARCH
WMT,fGARCH,0.000202432094453778,0.00975823806543042,-27987.1546403849,-27948.6636775898,13999.5773201925,NF_GARCH_Chrono,results/Final/NF_GARCH_Results_manual.xlsx,Chrono_Split_NF_GARCH
AMZN,fGARCH,0.000674206421914512,0.0178011068222923,-22488.301313012,-22449.8103502169,11250.150656506,NF_GARCH_Chrono,results/Final/NF_GARCH_Results_manual.xlsx,Chrono_Split_NF_GARCH
NF_GARCH,eGARCH,1.18137469062434,0.639552100485629,27401.3105107421,27439.8014735372,-13694.6552553711,NF_GARCH_Summary,results/Final/NF_GARCH_Results_manual.xlsx,NF_GARCH_Summary
NF_GARCH,fGARCH,0.000299617747572895,0.0108763485789128,-28273.7513163331,-28235.260353538,14142.8756581666,NF_GARCH_Summary,results/Final/NF_GARCH_Results_manual.xlsx,NF_GARCH_Summary
NF_GARCH,gjrGARCH,0.000313376006222991,0.0112221655607113,-28244.7567895128,-28206.2658267176,14128.3783947564,NF_GARCH_Summary,results/Final/NF_GARCH_Results_manual.xlsx,NF_GARCH_Summary
NF_GARCH,sGARCH,0.000624869562485561,0.0145424899880528,-27762.03722833,-27736.3765864666,13885.018614165,NF_GARCH_Summary,results/Final/NF_GARCH_Results_manual.xlsx,NF_GARCH_Summary
NF_GARCH,sGARCH,0.000317177589667402,0.0112858395639498,-28224.6219527426,-28192.5461504133,14117.3109763713,NF_GARCH_Summary,results/Final/NF_GARCH_Results_manual.xlsx,NF_GARCH_Summary
