"Asset","Model","Confidence_Level","VaR_Method","Violations","Total_Obs","Violation_Rate","Expected_Rate","Kupiec_PValue","Christoffersen_PValue","DQ_PValue","Engine","Sheet_Name"
"EURUSD","NF_gjrGARCH",0.99,"Historical",46,4515,0.010188261351052,0.01,0.899141967893366,0.0916336251962997,0.000106250791249113,"manual","Chrono_Split_NF_GARCH"
"EURUSD","NF_gjrGARCH",0.99,"Parametric",81,4515,0.0179401993355482,0.01,1.40731928666149e-06,0.661834315130635,1.10089008837466e-07,"manual","Chrono_Split_NF_GARCH"
"EURUSD","NF_gjrGARCH",0.99,"NFGARCH",0,4515,0,0.01,NA,NA,NA,"manual","Chrono_Split_NF_GARCH"
"GBPUSD","NF_gjrGARCH",0.95,"Historical",226,4515,0.0500553709856035,0.05,NA,NA,1.8945085033989e-16,"manual","Chrono_Split_NF_GARCH"
"GBPUSD","NF_gjrGARCH",0.95,"Parametric",174,4515,0.0385382059800664,0.05,0.000285582468891876,2.85040013192628e-06,5.85366770205555e-15,"manual","Chrono_Split_NF_GARCH"
"GBPUSD","NF_gjrGARCH",0.95,"NFGARCH",0,4515,0,0.05,NA,NA,NA,"manual","Chrono_Split_NF_GARCH"
"GBPUSD","NF_gjrGARCH",0.99,"Historical",46,4515,0.010188261351052,0.01,0.899141967893366,8.05004218067396e-05,3.31794480855852e-19,"manual","Chrono_Split_NF_GARCH"
"GBPUSD","NF_gjrGARCH",0.99,"Parametric",75,4515,0.0166112956810631,0.01,4.55596356817578e-05,2.4147634114513e-08,1.28886969406662e-29,"manual","Chrono_Split_NF_GARCH"
"GBPUSD","NF_gjrGARCH",0.99,"NFGARCH",0,4515,0,0.01,NA,NA,NA,"manual","Chrono_Split_NF_GARCH"
"GBPCNY","NF_gjrGARCH",0.95,"Historical",226,4515,0.0500553709856035,0.05,NA,NA,1.67349063841199e-13,"manual","Chrono_Split_NF_GARCH"
"GBPCNY","NF_gjrGARCH",0.95,"Parametric",174,4515,0.0385382059800664,0.05,0.000285582468891876,0.000136923531887434,4.36430212725356e-13,"manual","Chrono_Split_NF_GARCH"
"GBPCNY","NF_gjrGARCH",0.95,"NFGARCH",0,4515,0,0.05,NA,NA,NA,"manual","Chrono_Split_NF_GARCH"
"GBPCNY","NF_gjrGARCH",0.99,"Historical",46,4515,0.010188261351052,0.01,0.899141967893366,8.05004218067396e-05,1.43490205537235e-18,"manual","Chrono_Split_NF_GARCH"
"GBPCNY","NF_gjrGARCH",0.99,"Parametric",66,4515,0.0146179401993355,0.01,0.00352595545167234,3.06431539698337e-07,6.23432595349917e-26,"manual","Chrono_Split_NF_GARCH"
"GBPCNY","NF_gjrGARCH",0.99,"NFGARCH",0,4515,0,0.01,NA,NA,NA,"manual","Chrono_Split_NF_GARCH"
"USDZAR","NF_gjrGARCH",0.95,"Historical",226,4515,0.0500553709856035,0.05,NA,NA,0.160956715174239,"manual","Chrono_Split_NF_GARCH"
"USDZAR","NF_gjrGARCH",0.95,"Parametric",162,4515,0.0358803986710963,0.05,4.76544935246181e-06,0.202173987999302,0.00047897275251605,"manual","Chrono_Split_NF_GARCH"
"USDZAR","NF_gjrGARCH",0.95,"NFGARCH",0,4515,0,0.05,NA,NA,NA,"manual","Chrono_Split_NF_GARCH"
"USDZAR","NF_gjrGARCH",0.99,"Historical",46,4515,0.010188261351052,0.01,0.899141967893366,0.0116498598068107,2.05528974819868e-05,"manual","Chrono_Split_NF_GARCH"
"USDZAR","NF_gjrGARCH",0.99,"Parametric",43,4515,0.00952380952380952,0.01,0.745816715613205,0.00775438384657212,1.76076317008327e-06,"manual","Chrono_Split_NF_GARCH"
"USDZAR","NF_gjrGARCH",0.99,"NFGARCH",0,4515,0,0.01,NA,NA,NA,"manual","Chrono_Split_NF_GARCH"
"GBPZAR","NF_gjrGARCH",0.95,"Historical",226,4515,0.0500553709856035,0.05,NA,NA,0.00479224871685975,"manual","Chrono_Split_NF_GARCH"
"GBPZAR","NF_gjrGARCH",0.95,"Parametric",172,4515,0.0380952380952381,0.05,0.000131059223406949,0.0974899025421484,3.31824742354298e-06,"manual","Chrono_Split_NF_GARCH"
"GBPZAR","NF_gjrGARCH",0.95,"NFGARCH",0,4515,0,0.05,NA,NA,NA,"manual","Chrono_Split_NF_GARCH"
"GBPZAR","NF_gjrGARCH",0.99,"Historical",46,4515,0.010188261351052,0.01,0.899141967893366,0.0116498598068107,3.11536368209126e-10,"manual","Chrono_Split_NF_GARCH"
"GBPZAR","NF_gjrGARCH",0.99,"Parametric",44,4515,0.0097452934662237,0.01,0.862856039564058,0.00891442067461479,1.86312663570302e-11,"manual","Chrono_Split_NF_GARCH"
"GBPZAR","NF_gjrGARCH",0.99,"NFGARCH",0,4515,0,0.01,NA,NA,NA,"manual","Chrono_Split_NF_GARCH"
"EURZAR","NF_gjrGARCH",0.95,"Historical",226,4515,0.0500553709856035,0.05,NA,NA,0.00868262433394327,"manual","Chrono_Split_NF_GARCH"
"EURZAR","NF_gjrGARCH",0.95,"Parametric",169,4515,0.0374307862679956,0.05,5.16492896006637e-05,0.159466790465579,0.118876258078452,"manual","Chrono_Split_NF_GARCH"
"EURZAR","NF_gjrGARCH",0.95,"NFGARCH",0,4515,0,0.05,NA,NA,NA,"manual","Chrono_Split_NF_GARCH"
"EURZAR","NF_gjrGARCH",0.99,"Historical",46,4515,0.010188261351052,0.01,0.899141967893366,0.00109807783592364,4.56381585802262e-09,"manual","Chrono_Split_NF_GARCH"
"EURZAR","NF_gjrGARCH",0.99,"Parametric",48,4515,0.0106312292358804,0.01,0.673056376319821,0.00154840090139929,3.45665704430308e-10,"manual","Chrono_Split_NF_GARCH"
"EURZAR","NF_gjrGARCH",0.99,"NFGARCH",0,4515,0,0.01,NA,NA,NA,"manual","Chrono_Split_NF_GARCH"
"NVDA","NF_gjrGARCH",0.95,"Historical",226,4515,0.0500553709856035,0.05,NA,NA,1.75513467841438e-11,"manual","Chrono_Split_NF_GARCH"
"NVDA","NF_gjrGARCH",0.95,"Parametric",190,4515,0.0420819490586932,0.05,NA,NA,1.29452803459042e-13,"manual","Chrono_Split_NF_GARCH"
"NVDA","NF_gjrGARCH",0.95,"NFGARCH",0,4515,0,0.05,NA,NA,NA,"manual","Chrono_Split_NF_GARCH"
"NVDA","NF_gjrGARCH",0.99,"Historical",46,4515,0.010188261351052,0.01,0.899141967893366,0.0116498598068107,4.54417360554331e-06,"manual","Chrono_Split_NF_GARCH"
"NVDA","NF_gjrGARCH",0.99,"Parametric",66,4515,0.0146179401993355,0.01,0.00352595545167234,0.000372564617056592,2.50230833642111e-10,"manual","Chrono_Split_NF_GARCH"
"NVDA","NF_gjrGARCH",0.99,"NFGARCH",0,4515,0,0.01,NA,NA,NA,"manual","Chrono_Split_NF_GARCH"
"MSFT","NF_gjrGARCH",0.95,"Historical",226,4515,0.0500553709856035,0.05,NA,NA,1.43517907625263e-21,"manual","Chrono_Split_NF_GARCH"
"MSFT","NF_gjrGARCH",0.95,"Parametric",193,4515,0.0427464008859358,0.05,NA,NA,9.67973187188906e-23,"manual","Chrono_Split_NF_GARCH"
"MSFT","NF_gjrGARCH",0.95,"NFGARCH",0,4515,0,0.05,NA,NA,NA,"manual","Chrono_Split_NF_GARCH"
"MSFT","NF_gjrGARCH",0.99,"Historical",46,4515,0.010188261351052,0.01,0.899141967893366,8.05004218067396e-05,1.49258097033298e-12,"manual","Chrono_Split_NF_GARCH"
"MSFT","NF_gjrGARCH",0.99,"Parametric",73,4515,0.0161683277962348,0.01,0.000131345290032781,1.86224738564222e-05,2.34407884001742e-19,"manual","Chrono_Split_NF_GARCH"
"MSFT","NF_gjrGARCH",0.99,"NFGARCH",0,4515,0,0.01,NA,NA,NA,"manual","Chrono_Split_NF_GARCH"
"PG","NF_gjrGARCH",0.95,"Historical",226,4515,0.0500553709856035,0.05,NA,NA,1.26335623754617e-19,"manual","Chrono_Split_NF_GARCH"
"PG","NF_gjrGARCH",0.95,"Parametric",177,4515,0.039202657807309,0.05,NA,0,3.17941068899921e-18,"manual","Chrono_Split_NF_GARCH"
"PG","NF_gjrGARCH",0.95,"NFGARCH",0,4515,0,0.05,NA,NA,NA,"manual","Chrono_Split_NF_GARCH"
"PG","NF_gjrGARCH",0.99,"Historical",46,4515,0.010188261351052,0.01,0.899141967893366,0.00109807783592364,3.66541197263807e-16,"manual","Chrono_Split_NF_GARCH"
"PG","NF_gjrGARCH",0.99,"Parametric",86,4515,0.019047619047619,0.01,5.58049361165658e-08,0.00132303565614844,9.98698975680206e-11,"manual","Chrono_Split_NF_GARCH"
"PG","NF_gjrGARCH",0.99,"NFGARCH",0,4515,0,0.01,NA,NA,NA,"manual","Chrono_Split_NF_GARCH"
"CAT","NF_gjrGARCH",0.95,"Historical",226,4515,0.0500553709856035,0.05,NA,NA,1.61073350127442e-25,"manual","Chrono_Split_NF_GARCH"
"CAT","NF_gjrGARCH",0.95,"Parametric",206,4515,0.04562569213732,0.05,NA,NA,2.14832520342528e-28,"manual","Chrono_Split_NF_GARCH"
"CAT","NF_gjrGARCH",0.95,"NFGARCH",0,4515,0,0.05,NA,NA,NA,"manual","Chrono_Split_NF_GARCH"
"CAT","NF_gjrGARCH",0.99,"Historical",46,4515,0.010188261351052,0.01,0.899141967893366,NA,6.13161301610621e-20,"manual","Chrono_Split_NF_GARCH"
"CAT","NF_gjrGARCH",0.99,"Parametric",83,4515,0.0183831672203765,0.01,4.00780463372108e-07,0.0878203015467606,8.10020526998285e-23,"manual","Chrono_Split_NF_GARCH"
"CAT","NF_gjrGARCH",0.99,"NFGARCH",0,4515,0,0.01,NA,NA,NA,"manual","Chrono_Split_NF_GARCH"
"WMT","NF_gjrGARCH",0.95,"Historical",226,4515,0.0500553709856035,0.05,NA,NA,2.98703105319217e-05,"manual","Chrono_Split_NF_GARCH"
"WMT","NF_gjrGARCH",0.95,"Parametric",162,4515,0.0358803986710963,0.05,4.76544935246181e-06,0.00252306836580252,5.14779078945299e-09,"manual","Chrono_Split_NF_GARCH"
"WMT","NF_gjrGARCH",0.95,"NFGARCH",0,4515,0,0.05,NA,NA,NA,"manual","Chrono_Split_NF_GARCH"
"WMT","NF_gjrGARCH",0.99,"Historical",46,4515,0.010188261351052,0.01,0.899141967893366,0.0916336251962997,2.67657020925512e-09,"manual","Chrono_Split_NF_GARCH"
"WMT","NF_gjrGARCH",0.99,"Parametric",62,4515,0.0137320044296788,0.01,0.0170670231995471,0.0646980843950626,3.89881224555393e-09,"manual","Chrono_Split_NF_GARCH"
"WMT","NF_gjrGARCH",0.99,"NFGARCH",0,4515,0,0.01,NA,NA,NA,"manual","Chrono_Split_NF_GARCH"
"AMZN","NF_gjrGARCH",0.95,"Historical",226,4515,0.0500553709856035,0.05,NA,NA,5.39420705882553e-15,"manual","Chrono_Split_NF_GARCH"
"AMZN","NF_gjrGARCH",0.95,"Parametric",156,4515,0.0345514950166113,0.05,4.85238038527847e-07,2.58783219256875e-05,3.23125136962153e-18,"manual","Chrono_Split_NF_GARCH"
"AMZN","NF_gjrGARCH",0.95,"NFGARCH",0,4515,0,0.05,NA,NA,NA,"manual","Chrono_Split_NF_GARCH"
"AMZN","NF_gjrGARCH",0.99,"Historical",46,4515,0.010188261351052,0.01,0.899141967893366,0.0116498598068107,7.80810140525373e-11,"manual","Chrono_Split_NF_GARCH"
"AMZN","NF_gjrGARCH",0.99,"Parametric",62,4515,0.0137320044296788,0.01,0.0170670231995471,0.0646980843950626,3.33096494471179e-10,"manual","Chrono_Split_NF_GARCH"
"AMZN","NF_gjrGARCH",0.99,"NFGARCH",0,4515,0,0.01,NA,NA,NA,"manual","Chrono_Split_NF_GARCH"
"EURUSD","NF_eGARCH",0.95,"Historical",226,4515,0.0500553709856035,0.05,NA,NA,4.51841832283803e-10,"manual","Chrono_Split_NF_GARCH"
"EURUSD","NF_eGARCH",0.95,"Parametric",214,4515,0.0473975636766334,0.05,NA,NA,1.75991960667353e-09,"manual","Chrono_Split_NF_GARCH"
"EURUSD","NF_eGARCH",0.95,"NFGARCH",0,4515,0,0.05,NA,NA,NA,"manual","Chrono_Split_NF_GARCH"
"EURUSD","NF_eGARCH",0.99,"Historical",46,4515,0.010188261351052,0.01,0.899141967893366,0.0916336251962997,0.000106250791249113,"manual","Chrono_Split_NF_GARCH"
"EURUSD","NF_eGARCH",0.99,"Parametric",81,4515,0.0179401993355482,0.01,1.40731928666149e-06,0.661834315130635,1.10089008837466e-07,"manual","Chrono_Split_NF_GARCH"
"EURUSD","NF_eGARCH",0.99,"NFGARCH",0,4515,0,0.01,NA,NA,NA,"manual","Chrono_Split_NF_GARCH"
"NVDA","NF_eGARCH",0.95,"Historical",226,4515,0.0500553709856035,0.05,NA,NA,1.75513467841438e-11,"manual","Chrono_Split_NF_GARCH"
"NVDA","NF_eGARCH",0.95,"Parametric",190,4515,0.0420819490586932,0.05,NA,NA,1.29452803459042e-13,"manual","Chrono_Split_NF_GARCH"
"NVDA","NF_eGARCH",0.95,"NFGARCH",0,4515,0,0.05,NA,NA,NA,"manual","Chrono_Split_NF_GARCH"
"NVDA","NF_eGARCH",0.99,"Historical",46,4515,0.010188261351052,0.01,0.899141967893366,0.0116498598068107,4.54417360554331e-06,"manual","Chrono_Split_NF_GARCH"
"NVDA","NF_eGARCH",0.99,"Parametric",66,4515,0.0146179401993355,0.01,0.00352595545167234,0.000372564617056592,2.50230833642111e-10,"manual","Chrono_Split_NF_GARCH"
"NVDA","NF_eGARCH",0.99,"NFGARCH",0,4515,0,0.01,NA,NA,NA,"manual","Chrono_Split_NF_GARCH"
"CAT","NF_eGARCH",0.95,"Historical",226,4515,0.0500553709856035,0.05,NA,NA,1.61073350127442e-25,"manual","Chrono_Split_NF_GARCH"
"CAT","NF_eGARCH",0.95,"Parametric",206,4515,0.04562569213732,0.05,NA,NA,2.14832520342528e-28,"manual","Chrono_Split_NF_GARCH"
"CAT","NF_eGARCH",0.95,"NFGARCH",0,4515,0,0.05,NA,NA,NA,"manual","Chrono_Split_NF_GARCH"
"CAT","NF_eGARCH",0.99,"Historical",46,4515,0.010188261351052,0.01,0.899141967893366,NA,6.13161301610621e-20,"manual","Chrono_Split_NF_GARCH"
"CAT","NF_eGARCH",0.99,"Parametric",83,4515,0.0183831672203765,0.01,4.00780463372108e-07,0.0878203015467606,8.10020526998285e-23,"manual","Chrono_Split_NF_GARCH"
"CAT","NF_eGARCH",0.99,"NFGARCH",0,4515,0,0.01,NA,NA,NA,"manual","Chrono_Split_NF_GARCH"
"EURUSD","NF_fGARCH",0.95,"Historical",226,4515,0.0500553709856035,0.05,NA,NA,4.51841832283803e-10,"manual","Chrono_Split_NF_GARCH"
"EURUSD","NF_fGARCH",0.95,"Parametric",214,4515,0.0473975636766334,0.05,NA,NA,1.75991960667353e-09,"manual","Chrono_Split_NF_GARCH"
"EURUSD","NF_fGARCH",0.95,"NFGARCH",226,4515,0.0500553709856035,0.05,NA,NA,4.51841832283803e-10,"manual","Chrono_Split_NF_GARCH"
"EURUSD","NF_fGARCH",0.99,"Historical",46,4515,0.010188261351052,0.01,0.899141967893366,0.0916336251962997,0.000106250791249113,"manual","Chrono_Split_NF_GARCH"
"EURUSD","NF_fGARCH",0.99,"Parametric",81,4515,0.0179401993355482,0.01,1.40731928666149e-06,0.661834315130635,1.10089008837466e-07,"manual","Chrono_Split_NF_GARCH"
"EURUSD","NF_fGARCH",0.99,"NFGARCH",46,4515,0.010188261351052,0.01,0.899141967893366,0.0916336251962997,0.000106250791249113,"manual","Chrono_Split_NF_GARCH"
"GBPUSD","NF_fGARCH",0.95,"Historical",226,4515,0.0500553709856035,0.05,NA,NA,1.8945085033989e-16,"manual","Chrono_Split_NF_GARCH"
"GBPUSD","NF_fGARCH",0.95,"Parametric",174,4515,0.0385382059800664,0.05,0.000285582468891876,2.85040013192628e-06,5.85366770205555e-15,"manual","Chrono_Split_NF_GARCH"
"GBPUSD","NF_fGARCH",0.95,"NFGARCH",226,4515,0.0500553709856035,0.05,NA,NA,1.8945085033989e-16,"manual","Chrono_Split_NF_GARCH"
"GBPUSD","NF_fGARCH",0.99,"Historical",46,4515,0.010188261351052,0.01,0.899141967893366,8.05004218067396e-05,3.31794480855852e-19,"manual","Chrono_Split_NF_GARCH"
"GBPUSD","NF_fGARCH",0.99,"Parametric",75,4515,0.0166112956810631,0.01,4.55596356817578e-05,2.4147634114513e-08,1.28886969406662e-29,"manual","Chrono_Split_NF_GARCH"
"GBPUSD","NF_fGARCH",0.99,"NFGARCH",46,4515,0.010188261351052,0.01,0.899141967893366,8.05004218067396e-05,3.31794480855852e-19,"manual","Chrono_Split_NF_GARCH"
"GBPCNY","NF_fGARCH",0.95,"Historical",226,4515,0.0500553709856035,0.05,NA,NA,1.67349063841199e-13,"manual","Chrono_Split_NF_GARCH"
"GBPCNY","NF_fGARCH",0.95,"Parametric",174,4515,0.0385382059800664,0.05,0.000285582468891876,0.000136923531887434,4.36430212725356e-13,"manual","Chrono_Split_NF_GARCH"
"GBPCNY","NF_fGARCH",0.95,"NFGARCH",226,4515,0.0500553709856035,0.05,NA,NA,1.67349063841199e-13,"manual","Chrono_Split_NF_GARCH"
"GBPCNY","NF_fGARCH",0.99,"Historical",46,4515,0.010188261351052,0.01,0.899141967893366,8.05004218067396e-05,1.43490205537235e-18,"manual","Chrono_Split_NF_GARCH"
"GBPCNY","NF_fGARCH",0.99,"Parametric",66,4515,0.0146179401993355,0.01,0.00352595545167234,3.06431539698337e-07,6.23432595349917e-26,"manual","Chrono_Split_NF_GARCH"
"GBPCNY","NF_fGARCH",0.99,"NFGARCH",46,4515,0.010188261351052,0.01,0.899141967893366,8.05004218067396e-05,1.43490205537235e-18,"manual","Chrono_Split_NF_GARCH"
"USDZAR","NF_fGARCH",0.95,"Historical",226,4515,0.0500553709856035,0.05,NA,NA,0.160956715174239,"manual","Chrono_Split_NF_GARCH"
"USDZAR","NF_fGARCH",0.95,"Parametric",162,4515,0.0358803986710963,0.05,4.76544935246181e-06,0.202173987999302,0.00047897275251605,"manual","Chrono_Split_NF_GARCH"
"USDZAR","NF_fGARCH",0.95,"NFGARCH",226,4515,0.0500553709856035,0.05,NA,NA,0.160956715174239,"manual","Chrono_Split_NF_GARCH"
"USDZAR","NF_fGARCH",0.99,"Historical",46,4515,0.010188261351052,0.01,0.899141967893366,0.0116498598068107,2.05528974819868e-05,"manual","Chrono_Split_NF_GARCH"
"USDZAR","NF_fGARCH",0.99,"Parametric",43,4515,0.00952380952380952,0.01,0.745816715613205,0.00775438384657212,1.76076317008327e-06,"manual","Chrono_Split_NF_GARCH"
"USDZAR","NF_fGARCH",0.99,"NFGARCH",46,4515,0.010188261351052,0.01,0.899141967893366,0.0116498598068107,2.05528974819868e-05,"manual","Chrono_Split_NF_GARCH"
"GBPZAR","NF_fGARCH",0.95,"Historical",226,4515,0.0500553709856035,0.05,NA,NA,0.00479224871685975,"manual","Chrono_Split_NF_GARCH"
"GBPZAR","NF_fGARCH",0.95,"Parametric",172,4515,0.0380952380952381,0.05,0.000131059223406949,0.0974899025421484,3.31824742354298e-06,"manual","Chrono_Split_NF_GARCH"
"GBPZAR","NF_fGARCH",0.95,"NFGARCH",226,4515,0.0500553709856035,0.05,NA,NA,0.00479224871685975,"manual","Chrono_Split_NF_GARCH"
"GBPZAR","NF_fGARCH",0.99,"Historical",46,4515,0.010188261351052,0.01,0.899141967893366,0.0116498598068107,3.11536368209126e-10,"manual","Chrono_Split_NF_GARCH"
"GBPZAR","NF_fGARCH",0.99,"Parametric",44,4515,0.0097452934662237,0.01,0.862856039564058,0.00891442067461479,1.86312663570302e-11,"manual","Chrono_Split_NF_GARCH"
"GBPZAR","NF_fGARCH",0.99,"NFGARCH",46,4515,0.010188261351052,0.01,0.899141967893366,0.0116498598068107,3.11536368209126e-10,"manual","Chrono_Split_NF_GARCH"
"EURZAR","NF_fGARCH",0.95,"Historical",226,4515,0.0500553709856035,0.05,NA,NA,0.00868262433394327,"manual","Chrono_Split_NF_GARCH"
"EURZAR","NF_fGARCH",0.95,"Parametric",169,4515,0.0374307862679956,0.05,5.16492896006637e-05,0.159466790465579,0.118876258078452,"manual","Chrono_Split_NF_GARCH"
"EURZAR","NF_fGARCH",0.95,"NFGARCH",226,4515,0.0500553709856035,0.05,NA,NA,0.00868262433394327,"manual","Chrono_Split_NF_GARCH"
"EURZAR","NF_fGARCH",0.99,"Historical",46,4515,0.010188261351052,0.01,0.899141967893366,0.00109807783592364,4.56381585802262e-09,"manual","Chrono_Split_NF_GARCH"
"EURZAR","NF_fGARCH",0.99,"Parametric",48,4515,0.0106312292358804,0.01,0.673056376319821,0.00154840090139929,3.45665704430308e-10,"manual","Chrono_Split_NF_GARCH"
"EURZAR","NF_fGARCH",0.99,"NFGARCH",46,4515,0.010188261351052,0.01,0.899141967893366,0.00109807783592364,4.56381585802262e-09,"manual","Chrono_Split_NF_GARCH"
"NVDA","NF_fGARCH",0.95,"Historical",226,4515,0.0500553709856035,0.05,NA,NA,1.75513467841438e-11,"manual","Chrono_Split_NF_GARCH"
"NVDA","NF_fGARCH",0.95,"Parametric",190,4515,0.0420819490586932,0.05,NA,NA,1.29452803459042e-13,"manual","Chrono_Split_NF_GARCH"
"NVDA","NF_fGARCH",0.95,"NFGARCH",226,4515,0.0500553709856035,0.05,NA,NA,1.75513467841438e-11,"manual","Chrono_Split_NF_GARCH"
"NVDA","NF_fGARCH",0.99,"Historical",46,4515,0.010188261351052,0.01,0.899141967893366,0.0116498598068107,4.54417360554331e-06,"manual","Chrono_Split_NF_GARCH"
"NVDA","NF_fGARCH",0.99,"Parametric",66,4515,0.0146179401993355,0.01,0.00352595545167234,0.000372564617056592,2.50230833642111e-10,"manual","Chrono_Split_NF_GARCH"
"NVDA","NF_fGARCH",0.99,"NFGARCH",46,4515,0.010188261351052,0.01,0.899141967893366,0.0116498598068107,4.54417360554331e-06,"manual","Chrono_Split_NF_GARCH"
"MSFT","NF_fGARCH",0.95,"Historical",226,4515,0.0500553709856035,0.05,NA,NA,1.43517907625263e-21,"manual","Chrono_Split_NF_GARCH"
"MSFT","NF_fGARCH",0.95,"Parametric",193,4515,0.0427464008859358,0.05,NA,NA,9.67973187188906e-23,"manual","Chrono_Split_NF_GARCH"
"MSFT","NF_fGARCH",0.95,"NFGARCH",226,4515,0.0500553709856035,0.05,NA,NA,1.43517907625263e-21,"manual","Chrono_Split_NF_GARCH"
"MSFT","NF_fGARCH",0.99,"Historical",46,4515,0.010188261351052,0.01,0.899141967893366,8.05004218067396e-05,1.49258097033298e-12,"manual","Chrono_Split_NF_GARCH"
"MSFT","NF_fGARCH",0.99,"Parametric",73,4515,0.0161683277962348,0.01,0.000131345290032781,1.86224738564222e-05,2.34407884001742e-19,"manual","Chrono_Split_NF_GARCH"
"MSFT","NF_fGARCH",0.99,"NFGARCH",46,4515,0.010188261351052,0.01,0.899141967893366,8.05004218067396e-05,1.49258097033298e-12,"manual","Chrono_Split_NF_GARCH"
"PG","NF_fGARCH",0.95,"Historical",226,4515,0.0500553709856035,0.05,NA,NA,1.26335623754617e-19,"manual","Chrono_Split_NF_GARCH"
"PG","NF_fGARCH",0.95,"Parametric",177,4515,0.039202657807309,0.05,NA,0,3.17941068899921e-18,"manual","Chrono_Split_NF_GARCH"
"PG","NF_fGARCH",0.95,"NFGARCH",226,4515,0.0500553709856035,0.05,NA,NA,1.26335623754617e-19,"manual","Chrono_Split_NF_GARCH"
"PG","NF_fGARCH",0.99,"Historical",46,4515,0.010188261351052,0.01,0.899141967893366,0.00109807783592364,3.66541197263807e-16,"manual","Chrono_Split_NF_GARCH"
"PG","NF_fGARCH",0.99,"Parametric",86,4515,0.019047619047619,0.01,5.58049361165658e-08,0.00132303565614844,9.98698975680206e-11,"manual","Chrono_Split_NF_GARCH"
"PG","NF_fGARCH",0.99,"NFGARCH",46,4515,0.010188261351052,0.01,0.899141967893366,0.00109807783592364,3.66541197263807e-16,"manual","Chrono_Split_NF_GARCH"
"CAT","NF_fGARCH",0.95,"Historical",226,4515,0.0500553709856035,0.05,NA,NA,1.61073350127442e-25,"manual","Chrono_Split_NF_GARCH"
"CAT","NF_fGARCH",0.95,"Parametric",206,4515,0.04562569213732,0.05,NA,NA,2.14832520342528e-28,"manual","Chrono_Split_NF_GARCH"
"CAT","NF_fGARCH",0.95,"NFGARCH",226,4515,0.0500553709856035,0.05,NA,NA,1.61073350127442e-25,"manual","Chrono_Split_NF_GARCH"
"CAT","NF_fGARCH",0.99,"Historical",46,4515,0.010188261351052,0.01,0.899141967893366,NA,6.13161301610621e-20,"manual","Chrono_Split_NF_GARCH"
"CAT","NF_fGARCH",0.99,"Parametric",83,4515,0.0183831672203765,0.01,4.00780463372108e-07,0.0878203015467606,8.10020526998285e-23,"manual","Chrono_Split_NF_GARCH"
"CAT","NF_fGARCH",0.99,"NFGARCH",46,4515,0.010188261351052,0.01,0.899141967893366,NA,6.13161301610621e-20,"manual","Chrono_Split_NF_GARCH"
"WMT","NF_fGARCH",0.95,"Historical",226,4515,0.0500553709856035,0.05,NA,NA,2.98703105319217e-05,"manual","Chrono_Split_NF_GARCH"
"WMT","NF_fGARCH",0.95,"Parametric",162,4515,0.0358803986710963,0.05,4.76544935246181e-06,0.00252306836580252,5.14779078945299e-09,"manual","Chrono_Split_NF_GARCH"
"WMT","NF_fGARCH",0.95,"NFGARCH",226,4515,0.0500553709856035,0.05,NA,NA,2.98703105319217e-05,"manual","Chrono_Split_NF_GARCH"
"WMT","NF_fGARCH",0.99,"Historical",46,4515,0.010188261351052,0.01,0.899141967893366,0.0916336251962997,2.67657020925512e-09,"manual","Chrono_Split_NF_GARCH"
"WMT","NF_fGARCH",0.99,"Parametric",62,4515,0.0137320044296788,0.01,0.0170670231995471,0.0646980843950626,3.89881224555393e-09,"manual","Chrono_Split_NF_GARCH"
"WMT","NF_fGARCH",0.99,"NFGARCH",46,4515,0.010188261351052,0.01,0.899141967893366,0.0916336251962997,2.67657020925512e-09,"manual","Chrono_Split_NF_GARCH"
"AMZN","NF_fGARCH",0.95,"Historical",226,4515,0.0500553709856035,0.05,NA,NA,5.39420705882553e-15,"manual","Chrono_Split_NF_GARCH"
"AMZN","NF_fGARCH",0.95,"Parametric",156,4515,0.0345514950166113,0.05,4.85238038527847e-07,2.58783219256875e-05,3.23125136962153e-18,"manual","Chrono_Split_NF_GARCH"
"AMZN","NF_fGARCH",0.95,"NFGARCH",226,4515,0.0500553709856035,0.05,NA,NA,5.39420705882553e-15,"manual","Chrono_Split_NF_GARCH"
"AMZN","NF_fGARCH",0.99,"Historical",46,4515,0.010188261351052,0.01,0.899141967893366,0.0116498598068107,7.80810140525373e-11,"manual","Chrono_Split_NF_GARCH"
"AMZN","NF_fGARCH",0.99,"Parametric",62,4515,0.0137320044296788,0.01,0.0170670231995471,0.0646980843950626,3.33096494471179e-10,"manual","Chrono_Split_NF_GARCH"
"AMZN","NF_fGARCH",0.99,"NFGARCH",46,4515,0.010188261351052,0.01,0.899141967893366,0.0116498598068107,7.80810140525373e-11,"manual","Chrono_Split_NF_GARCH"
