"Asset","Model","Confidence_Level","VaR_Method","Violations","Total_Obs","Violation_Rate","Expected_Rate","Kupiec_PValue","Christoffersen_PValue","DQ_PValue"
"NVDA","sGARCH_norm_Historical",0.95,"Historical",64,903,0.070874861572536,0.05,0.00661166536461011,0.456114108430775,0.0269452764816414
"NVDA","sGARCH_norm_Parametric",0.95,"Parametric",52,903,0.0575858250276855,0.05,0.306614797762293,0.970549950280655,0.0168394670421883
"NVDA","sGARCH_norm_GARCH",0.95,"GARCH",39,903,0.0431893687707641,0.05,0.336805932984113,0.574157311537923,0.0654925545641877
"NVDA","sGARCH_norm_Historical",0.99,"Historical",6,903,0.00664451827242525,0.01,0.280483959269858,NA,0.988087517633998
"NVDA","sGARCH_norm_Parametric",0.99,"Parametric",14,903,0.0155038759689922,0.01,0.124018663009527,NA,0.262831676875943
"NVDA","sGARCH_norm_GARCH",0.99,"GARCH",7,903,0.00775193798449612,0.01,0.479669283904298,NA,0.978653092958545
"NVDA","sGARCH_sstd_Historical",0.95,"Historical",64,903,0.070874861572536,0.05,0.00661166536461011,0.456114108430775,0.0269452764816414
"NVDA","sGARCH_sstd_Parametric",0.95,"Parametric",52,903,0.0575858250276855,0.05,0.306614797762293,0.970549950280655,0.0168394670421883
"NVDA","sGARCH_sstd_GARCH",0.95,"GARCH",49,903,0.0542635658914729,0.05,0.561771434558039,0.801455953887463,0.424005056120836
"NVDA","sGARCH_sstd_Historical",0.99,"Historical",6,903,0.00664451827242525,0.01,0.280483959269858,NA,0.988087517633998
"NVDA","sGARCH_sstd_Parametric",0.99,"Parametric",14,903,0.0155038759689922,0.01,0.124018663009527,NA,0.262831676875943
"NVDA","sGARCH_sstd_GARCH",0.99,"GARCH",4,903,0.0044296788482835,0.01,0.0586842476065826,NA,0.997529594125242
"NVDA","eGARCH_Historical",0.95,"Historical",64,903,0.070874861572536,0.05,0.00661166536461011,0.456114108430775,0.0269452764816414
"NVDA","eGARCH_Parametric",0.95,"Parametric",52,903,0.0575858250276855,0.05,0.306614797762293,0.970549950280655,0.0168394670421883
"NVDA","eGARCH_GARCH",0.95,"GARCH",42,903,0.0465116279069767,0.05,0.626660242003722,0.45130411853168,0.0821686375354468
"NVDA","eGARCH_Historical",0.99,"Historical",6,903,0.00664451827242525,0.01,0.280483959269858,NA,0.988087517633998
"NVDA","eGARCH_Parametric",0.99,"Parametric",14,903,0.0155038759689922,0.01,0.124018663009527,NA,0.262831676875943
"NVDA","eGARCH_GARCH",0.99,"GARCH",4,903,0.0044296788482835,0.01,0.0586842476065826,NA,0.997529594125244
"NVDA","gjrGARCH_Historical",0.95,"Historical",64,903,0.070874861572536,0.05,0.00661166536461011,0.456114108430775,0.0269452764816414
"NVDA","gjrGARCH_Parametric",0.95,"Parametric",52,903,0.0575858250276855,0.05,0.306614797762293,0.970549950280655,0.0168394670421883
"NVDA","gjrGARCH_GARCH",0.95,"GARCH",45,903,0.0498338870431894,0.05,0.9817177051124,0.8883041211948,0.695677329321444
"NVDA","gjrGARCH_Historical",0.99,"Historical",6,903,0.00664451827242525,0.01,0.280483959269858,NA,0.988087517633998
"NVDA","gjrGARCH_Parametric",0.99,"Parametric",14,903,0.0155038759689922,0.01,0.124018663009527,NA,0.262831676875943
"NVDA","gjrGARCH_GARCH",0.99,"GARCH",3,903,0.00332225913621262,0.01,0.019137121459665,NA,0.999206271532834
"NVDA","TGARCH_Historical",0.95,"Historical",64,903,0.070874861572536,0.05,0.00661166536461011,0.456114108430775,0.0269452764816414
"NVDA","TGARCH_Parametric",0.95,"Parametric",52,903,0.0575858250276855,0.05,0.306614797762293,0.970549950280655,0.0168394670421883
"NVDA","TGARCH_GARCH",0.95,"GARCH",41,903,0.0454042081949059,0.05,0.520071972228371,0.490294756634549,0.0797788236176825
"NVDA","TGARCH_Historical",0.99,"Historical",6,903,0.00664451827242525,0.01,0.280483959269858,NA,0.988087517633998
"NVDA","TGARCH_Parametric",0.99,"Parametric",14,903,0.0155038759689922,0.01,0.124018663009527,NA,0.262831676875943
"NVDA","TGARCH_GARCH",0.99,"GARCH",6,903,0.00664451827242525,0.01,0.280483959269858,NA,0.988087517633963
"MSFT","sGARCH_norm_Historical",0.95,"Historical",60,903,0.0664451827242525,0.05,0.0304966700254172,0.60082448470929,0.551445571012769
"MSFT","sGARCH_norm_Parametric",0.95,"Parametric",45,903,0.0498338870431894,0.05,0.9817177051124,0.261544698546182,0.645095435869997
"MSFT","sGARCH_norm_GARCH",0.95,"GARCH",58,903,0.0642303433001107,0.05,0.0596902846381926,0.501082124348954,0.684638605602695
"MSFT","sGARCH_norm_Historical",0.99,"Historical",2,903,0.00221483942414175,0.01,0.0044620389843526,NA,0.999841744123726
"MSFT","sGARCH_norm_Parametric",0.99,"Parametric",12,903,0.0132890365448505,0.01,0.344292898745838,0.146156811371543,0.233137194923419
"MSFT","sGARCH_norm_GARCH",0.99,"GARCH",16,903,0.017718715393134,0.01,0.0355273643017773,NA,0.665278144560663
"MSFT","sGARCH_sstd_Historical",0.95,"Historical",60,903,0.0664451827242525,0.05,0.0304966700254172,0.60082448470929,0.551445571012769
"MSFT","sGARCH_sstd_Parametric",0.95,"Parametric",45,903,0.0498338870431894,0.05,0.9817177051124,0.261544698546182,0.645095435869997
"MSFT","sGARCH_sstd_GARCH",0.95,"GARCH",58,903,0.0642303433001107,0.05,0.0596902846381926,0.501082124348954,0.684638605602695
"MSFT","sGARCH_sstd_Historical",0.99,"Historical",2,903,0.00221483942414175,0.01,0.0044620389843526,NA,0.999841744123726
"MSFT","sGARCH_sstd_Parametric",0.99,"Parametric",12,903,0.0132890365448505,0.01,0.344292898745838,0.146156811371543,0.233137194923419
"MSFT","sGARCH_sstd_GARCH",0.99,"GARCH",9,903,0.00996677740863787,0.01,0.991990030572707,NA,0.946380861136597
"MSFT","eGARCH_Historical",0.95,"Historical",60,903,0.0664451827242525,0.05,0.0304966700254172,0.60082448470929,0.551445571012769
"MSFT","eGARCH_Parametric",0.95,"Parametric",45,903,0.0498338870431894,0.05,0.9817177051124,0.261544698546182,0.645095435869997
"MSFT","eGARCH_GARCH",0.95,"GARCH",56,903,0.062015503875969,0.05,0.109717203158412,0.36323140682018,0.66741119929051
"MSFT","eGARCH_Historical",0.99,"Historical",2,903,0.00221483942414175,0.01,0.0044620389843526,NA,0.999841744123726
"MSFT","eGARCH_Parametric",0.99,"Parametric",12,903,0.0132890365448505,0.01,0.344292898745838,0.146156811371543,0.233137194923419
"MSFT","eGARCH_GARCH",0.99,"GARCH",9,903,0.00996677740863787,0.01,0.991990030572707,NA,0.946380861136635
"MSFT","gjrGARCH_Historical",0.95,"Historical",60,903,0.0664451827242525,0.05,0.0304966700254172,0.60082448470929,0.551445571012769
"MSFT","gjrGARCH_Parametric",0.95,"Parametric",45,903,0.0498338870431894,0.05,0.9817177051124,0.261544698546182,0.645095435869997
"MSFT","gjrGARCH_GARCH",0.95,"GARCH",56,903,0.062015503875969,0.05,0.109717203158412,0.36323140682018,0.80305432035797
"MSFT","gjrGARCH_Historical",0.99,"Historical",2,903,0.00221483942414175,0.01,0.0044620389843526,NA,0.999841744123726
"MSFT","gjrGARCH_Parametric",0.99,"Parametric",12,903,0.0132890365448505,0.01,0.344292898745838,0.146156811371543,0.233137194923419
"MSFT","gjrGARCH_GARCH",0.99,"GARCH",10,903,0.0110741971207087,0.01,0.749790242865338,NA,0.922326437963827
"MSFT","TGARCH_Historical",0.95,"Historical",60,903,0.0664451827242525,0.05,0.0304966700254172,0.60082448470929,0.551445571012769
"MSFT","TGARCH_Parametric",0.95,"Parametric",45,903,0.0498338870431894,0.05,0.9817177051124,0.261544698546182,0.645095435869997
"MSFT","TGARCH_GARCH",0.95,"GARCH",55,903,0.0609080841638981,0.05,0.145267505529606,0.113447778447618,0.342447891785247
"MSFT","TGARCH_Historical",0.99,"Historical",2,903,0.00221483942414175,0.01,0.0044620389843526,NA,0.999841744123726
"MSFT","TGARCH_Parametric",0.99,"Parametric",12,903,0.0132890365448505,0.01,0.344292898745838,0.146156811371543,0.233137194923419
"MSFT","TGARCH_GARCH",0.99,"GARCH",9,903,0.00996677740863787,0.01,0.991990030572707,NA,0.946380861136635
"PG","sGARCH_norm_Historical",0.95,"Historical",46,903,0.0509413067552602,0.05,0.897038488635931,0.0318442370158474,0.0566899892499825
"PG","sGARCH_norm_Parametric",0.95,"Parametric",33,903,0.0365448504983389,0.05,0.0518247193415707,0.14867259994362,0.288112590491155
"PG","sGARCH_norm_GARCH",0.95,"GARCH",40,903,0.044296788482835,0.05,0.422991227635919,0.861525843170788,0.286613504600341
"PG","sGARCH_norm_Historical",0.99,"Historical",7,903,0.00775193798449612,0.01,0.479669283904298,NA,0.978653092958582
"PG","sGARCH_norm_Parametric",0.99,"Parametric",12,903,0.0132890365448505,0.01,0.344292898745838,NA,0.856945700567752
"PG","sGARCH_norm_GARCH",0.99,"GARCH",15,903,0.0166112956810631,0.01,0.0682384889707349,NA,0.719158925822177
"PG","sGARCH_sstd_Historical",0.95,"Historical",46,903,0.0509413067552602,0.05,0.897038488635931,0.0318442370158474,0.0566899892499825
"PG","sGARCH_sstd_Parametric",0.95,"Parametric",33,903,0.0365448504983389,0.05,0.0518247193415707,0.14867259994362,0.288112590491155
"PG","sGARCH_sstd_GARCH",0.95,"GARCH",43,903,0.0476190476190476,0.05,0.740794171808327,0.970704557279843,0.142982727261195
"PG","sGARCH_sstd_Historical",0.99,"Historical",7,903,0.00775193798449612,0.01,0.479669283904298,NA,0.978653092958582
"PG","sGARCH_sstd_Parametric",0.99,"Parametric",12,903,0.0132890365448505,0.01,0.344292898745838,NA,0.856945700567752
"PG","sGARCH_sstd_GARCH",0.99,"GARCH",10,903,0.0110741971207087,0.01,0.749790242865338,NA,0.922326437963746
"PG","eGARCH_Historical",0.95,"Historical",46,903,0.0509413067552602,0.05,0.897038488635931,0.0318442370158474,0.0566899892499825
"PG","eGARCH_Parametric",0.95,"Parametric",33,903,0.0365448504983389,0.05,0.0518247193415707,0.14867259994362,0.288112590491155
"PG","eGARCH_GARCH",0.95,"GARCH",42,903,0.0465116279069767,0.05,0.626660242003722,0.973557479977385,0.322175683331569
"PG","eGARCH_Historical",0.99,"Historical",7,903,0.00775193798449612,0.01,0.479669283904298,NA,0.978653092958582
"PG","eGARCH_Parametric",0.99,"Parametric",12,903,0.0132890365448505,0.01,0.344292898745838,NA,0.856945700567752
"PG","eGARCH_GARCH",0.99,"GARCH",11,903,0.0121816168327796,0.01,0.5240638502762,NA,0.892526353283826
"PG","gjrGARCH_Historical",0.95,"Historical",46,903,0.0509413067552602,0.05,0.897038488635931,0.0318442370158474,0.0566899892499825
"PG","gjrGARCH_Parametric",0.95,"Parametric",33,903,0.0365448504983389,0.05,0.0518247193415707,0.14867259994362,0.288112590491155
"PG","gjrGARCH_GARCH",0.95,"GARCH",41,903,0.0454042081949059,0.05,0.520071972228371,0.917547958844848,0.325869273620991
"PG","gjrGARCH_Historical",0.99,"Historical",7,903,0.00775193798449612,0.01,0.479669283904298,NA,0.978653092958582
"PG","gjrGARCH_Parametric",0.99,"Parametric",12,903,0.0132890365448505,0.01,0.344292898745838,NA,0.856945700567752
"PG","gjrGARCH_GARCH",0.99,"GARCH",11,903,0.0121816168327796,0.01,0.5240638502762,NA,0.892526353283826
"PG","TGARCH_Historical",0.95,"Historical",46,903,0.0509413067552602,0.05,0.897038488635931,0.0318442370158474,0.0566899892499825
"PG","TGARCH_Parametric",0.95,"Parametric",33,903,0.0365448504983389,0.05,0.0518247193415707,0.14867259994362,0.288112590491155
"PG","TGARCH_GARCH",0.95,"GARCH",41,903,0.0454042081949059,0.05,0.520071972228371,0.917547958844848,0.422553869290516
"PG","TGARCH_Historical",0.99,"Historical",7,903,0.00775193798449612,0.01,0.479669283904298,NA,0.978653092958582
"PG","TGARCH_Parametric",0.99,"Parametric",12,903,0.0132890365448505,0.01,0.344292898745838,NA,0.856945700567752
"PG","TGARCH_GARCH",0.99,"GARCH",10,903,0.0110741971207087,0.01,0.749790242865338,NA,0.922326437963746
"CAT","sGARCH_norm_Historical",0.95,"Historical",31,903,0.0343300110741971,0.05,0.0223293615881986,0.39944963233989,0.145232014681503
"CAT","sGARCH_norm_Parametric",0.95,"Parametric",30,903,0.0332225913621262,0.05,0.0139978037118124,0.357032985197729,0.129419933871833
"CAT","sGARCH_norm_GARCH",0.95,"GARCH",41,903,0.0454042081949059,0.05,0.520071972228371,0.00971888006354305,0.0261840951725142
"CAT","sGARCH_norm_Historical",0.99,"Historical",5,903,0.00553709856035437,0.01,0.141001490387177,NA,0.994096040888218
"CAT","sGARCH_norm_Parametric",0.99,"Parametric",12,903,0.0132890365448505,0.01,0.344292898745838,NA,0.558243873395922
"CAT","sGARCH_norm_GARCH",0.99,"GARCH",18,903,0.0199335548172757,0.01,0.00822505696657794,NA,0.209957913801803
"CAT","sGARCH_sstd_Historical",0.95,"Historical",31,903,0.0343300110741971,0.05,0.0223293615881986,0.39944963233989,0.145232014681503
"CAT","sGARCH_sstd_Parametric",0.95,"Parametric",30,903,0.0332225913621262,0.05,0.0139978037118124,0.357032985197729,0.129419933871833
"CAT","sGARCH_sstd_GARCH",0.95,"GARCH",48,903,0.053156146179402,0.05,0.666512134369931,0.0480795232800136,0.0774355607347907
"CAT","sGARCH_sstd_Historical",0.99,"Historical",5,903,0.00553709856035437,0.01,0.141001490387177,NA,0.994096040888218
"CAT","sGARCH_sstd_Parametric",0.99,"Parametric",12,903,0.0132890365448505,0.01,0.344292898745838,NA,0.558243873395922
"CAT","sGARCH_sstd_GARCH",0.99,"GARCH",11,903,0.0121816168327796,0.01,0.5240638502762,NA,0.892526353283835
"CAT","eGARCH_Historical",0.95,"Historical",31,903,0.0343300110741971,0.05,0.0223293615881986,0.39944963233989,0.145232014681503
"CAT","eGARCH_Parametric",0.95,"Parametric",30,903,0.0332225913621262,0.05,0.0139978037118124,0.357032985197729,0.129419933871833
"CAT","eGARCH_GARCH",0.95,"GARCH",48,903,0.053156146179402,0.05,0.666512134369931,0.0480795232800136,0.139510740680751
"CAT","eGARCH_Historical",0.99,"Historical",5,903,0.00553709856035437,0.01,0.141001490387177,NA,0.994096040888218
"CAT","eGARCH_Parametric",0.99,"Parametric",12,903,0.0132890365448505,0.01,0.344292898745838,NA,0.558243873395922
"CAT","eGARCH_GARCH",0.99,"GARCH",10,903,0.0110741971207087,0.01,0.749790242865338,NA,0.922326437963761
"CAT","gjrGARCH_Historical",0.95,"Historical",31,903,0.0343300110741971,0.05,0.0223293615881986,0.39944963233989,0.145232014681503
"CAT","gjrGARCH_Parametric",0.95,"Parametric",30,903,0.0332225913621262,0.05,0.0139978037118124,0.357032985197729,0.129419933871833
"CAT","gjrGARCH_GARCH",0.95,"GARCH",46,903,0.0509413067552602,0.05,0.897038488635931,0.0318442370158474,0.105552199167124
"CAT","gjrGARCH_Historical",0.99,"Historical",5,903,0.00553709856035437,0.01,0.141001490387177,NA,0.994096040888218
"CAT","gjrGARCH_Parametric",0.99,"Parametric",12,903,0.0132890365448505,0.01,0.344292898745838,NA,0.558243873395922
"CAT","gjrGARCH_GARCH",0.99,"GARCH",10,903,0.0110741971207087,0.01,0.749790242865338,NA,0.9223264379638
"CAT","TGARCH_Historical",0.95,"Historical",31,903,0.0343300110741971,0.05,0.0223293615881986,0.39944963233989,0.145232014681503
"CAT","TGARCH_Parametric",0.95,"Parametric",30,903,0.0332225913621262,0.05,0.0139978037118124,0.357032985197729,0.129419933871833
"CAT","TGARCH_GARCH",0.95,"GARCH",48,903,0.053156146179402,0.05,0.666512134369931,0.0480795232800136,0.139510740680751
"CAT","TGARCH_Historical",0.99,"Historical",5,903,0.00553709856035437,0.01,0.141001490387177,NA,0.994096040888218
"CAT","TGARCH_Parametric",0.99,"Parametric",12,903,0.0132890365448505,0.01,0.344292898745838,NA,0.558243873395922
"CAT","TGARCH_GARCH",0.99,"GARCH",10,903,0.0110741971207087,0.01,0.749790242865338,NA,0.922326437963761
"WMT","sGARCH_norm_Historical",0.95,"Historical",42,903,0.0465116279069767,0.05,0.626660242003722,0.973557479977385,0.970636419060696
"WMT","sGARCH_norm_Parametric",0.95,"Parametric",27,903,0.0299003322259136,0.05,0.00282521248976275,0.244828325830979,0.135083854922715
"WMT","sGARCH_norm_GARCH",0.95,"GARCH",31,903,0.0343300110741971,0.05,0.0223293615881986,0.947165007168363,0.94858600463864
"WMT","sGARCH_norm_Historical",0.99,"Historical",7,903,0.00775193798449612,0.01,0.479669283904298,0.0402975939010444,0.31070434217706
"WMT","sGARCH_norm_Parametric",0.99,"Parametric",8,903,0.008859357696567,0.01,0.725361830788812,0.0556969957912014,0.3698463776575
"WMT","sGARCH_norm_GARCH",0.99,"GARCH",8,903,0.008859357696567,0.01,0.725361830788812,0.0556969957912014,0.369846377657471
"WMT","sGARCH_sstd_Historical",0.95,"Historical",42,903,0.0465116279069767,0.05,0.626660242003722,0.973557479977385,0.970636419060696
"WMT","sGARCH_sstd_Parametric",0.95,"Parametric",27,903,0.0299003322259136,0.05,0.00282521248976275,0.244828325830979,0.135083854922715
"WMT","sGARCH_sstd_GARCH",0.95,"GARCH",44,903,0.0487264673311185,0.05,0.860052863235521,0.915488557823054,0.999692827900334
"WMT","sGARCH_sstd_Historical",0.99,"Historical",7,903,0.00775193798449612,0.01,0.479669283904298,0.0402975939010444,0.31070434217706
"WMT","sGARCH_sstd_Parametric",0.99,"Parametric",8,903,0.008859357696567,0.01,0.725361830788812,0.0556969957912014,0.3698463776575
"WMT","sGARCH_sstd_GARCH",0.99,"GARCH",6,903,0.00664451827242525,0.01,0.280483959269858,0.0276388432933532,0.247161366522379
"WMT","eGARCH_Historical",0.95,"Historical",42,903,0.0465116279069767,0.05,0.626660242003722,0.973557479977385,0.970636419060696
"WMT","eGARCH_Parametric",0.95,"Parametric",27,903,0.0299003322259136,0.05,0.00282521248976275,0.244828325830979,0.135083854922715
"WMT","eGARCH_GARCH",0.95,"GARCH",43,903,0.0476190476190476,0.05,0.740794171808327,0.970704557279843,0.94729044264633
"WMT","eGARCH_Historical",0.99,"Historical",7,903,0.00775193798449612,0.01,0.479669283904298,0.0402975939010444,0.31070434217706
"WMT","eGARCH_Parametric",0.99,"Parametric",8,903,0.008859357696567,0.01,0.725361830788812,0.0556969957912014,0.3698463776575
"WMT","eGARCH_GARCH",0.99,"GARCH",6,903,0.00664451827242525,0.01,0.280483959269858,0.0276388432933532,0.247161366522379
"WMT","gjrGARCH_Historical",0.95,"Historical",42,903,0.0465116279069767,0.05,0.626660242003722,0.973557479977385,0.970636419060696
"WMT","gjrGARCH_Parametric",0.95,"Parametric",27,903,0.0299003322259136,0.05,0.00282521248976275,0.244828325830979,0.135083854922715
"WMT","gjrGARCH_GARCH",0.95,"GARCH",47,903,0.0520487264673311,0.05,0.778956550345904,0.755289842666394,0.98132931921506
"WMT","gjrGARCH_Historical",0.99,"Historical",7,903,0.00775193798449612,0.01,0.479669283904298,0.0402975939010444,0.31070434217706
"WMT","gjrGARCH_Parametric",0.99,"Parametric",8,903,0.008859357696567,0.01,0.725361830788812,0.0556969957912014,0.3698463776575
"WMT","gjrGARCH_GARCH",0.99,"GARCH",5,903,0.00553709856035437,0.01,0.141001490387177,NA,0.994096040888212
"WMT","TGARCH_Historical",0.95,"Historical",42,903,0.0465116279069767,0.05,0.626660242003722,0.973557479977385,0.970636419060696
"WMT","TGARCH_Parametric",0.95,"Parametric",27,903,0.0299003322259136,0.05,0.00282521248976275,0.244828325830979,0.135083854922715
"WMT","TGARCH_GARCH",0.95,"GARCH",44,903,0.0487264673311185,0.05,0.860052863235521,0.943174583795152,0.946732217279475
"WMT","TGARCH_Historical",0.99,"Historical",7,903,0.00775193798449612,0.01,0.479669283904298,0.0402975939010444,0.31070434217706
"WMT","TGARCH_Parametric",0.99,"Parametric",8,903,0.008859357696567,0.01,0.725361830788812,0.0556969957912014,0.3698463776575
"WMT","TGARCH_GARCH",0.99,"GARCH",6,903,0.00664451827242525,0.01,0.280483959269858,0.0276388432933532,0.247161366522379
"AMZN","sGARCH_norm_Historical",0.95,"Historical",46,903,0.0509413067552602,0.05,0.897038488635931,0.00166021139952455,0.00460863363605835
"AMZN","sGARCH_norm_Parametric",0.95,"Parametric",35,903,0.0387596899224806,0.05,0.107223926885567,0.00163985206121275,0.00496123727906794
"AMZN","sGARCH_norm_GARCH",0.95,"GARCH",39,903,0.0431893687707641,0.05,0.336805932984113,0.805755524568663,0.329980322597773
"AMZN","sGARCH_norm_Historical",0.99,"Historical",9,903,0.00996677740863787,0.01,0.991990030572707,NA,0.453401754289516
"AMZN","sGARCH_norm_Parametric",0.99,"Parametric",10,903,0.0110741971207087,0.01,0.749790242865338,NA,0.496291241815984
"AMZN","sGARCH_norm_GARCH",0.99,"GARCH",12,903,0.0132890365448505,0.01,0.344292898745838,NA,0.856945700567711
"AMZN","sGARCH_sstd_Historical",0.95,"Historical",46,903,0.0509413067552602,0.05,0.897038488635931,0.00166021139952455,0.00460863363605835
"AMZN","sGARCH_sstd_Parametric",0.95,"Parametric",35,903,0.0387596899224806,0.05,0.107223926885567,0.00163985206121275,0.00496123727906794
"AMZN","sGARCH_sstd_GARCH",0.95,"GARCH",47,903,0.0520487264673311,0.05,0.778956550345904,0.333528649610116,0.420092411015387
"AMZN","sGARCH_sstd_Historical",0.99,"Historical",9,903,0.00996677740863787,0.01,0.991990030572707,NA,0.453401754289516
"AMZN","sGARCH_sstd_Parametric",0.99,"Parametric",10,903,0.0110741971207087,0.01,0.749790242865338,NA,0.496291241815984
"AMZN","sGARCH_sstd_GARCH",0.99,"GARCH",8,903,0.008859357696567,0.01,0.725361830788812,NA,0.964983090273868
"AMZN","eGARCH_Historical",0.95,"Historical",46,903,0.0509413067552602,0.05,0.897038488635931,0.00166021139952455,0.00460863363605835
"AMZN","eGARCH_Parametric",0.95,"Parametric",35,903,0.0387596899224806,0.05,0.107223926885567,0.00163985206121275,0.00496123727906794
"AMZN","eGARCH_GARCH",0.95,"GARCH",45,903,0.0498338870431894,0.05,0.9817177051124,0.330657583743112,0.316751702731296
"AMZN","eGARCH_Historical",0.99,"Historical",9,903,0.00996677740863787,0.01,0.991990030572707,NA,0.453401754289516
"AMZN","eGARCH_Parametric",0.99,"Parametric",10,903,0.0110741971207087,0.01,0.749790242865338,NA,0.496291241815984
"AMZN","eGARCH_GARCH",0.99,"GARCH",7,903,0.00775193798449612,0.01,0.479669283904298,NA,0.978653092958541
"AMZN","gjrGARCH_Historical",0.95,"Historical",46,903,0.0509413067552602,0.05,0.897038488635931,0.00166021139952455,0.00460863363605835
"AMZN","gjrGARCH_Parametric",0.95,"Parametric",35,903,0.0387596899224806,0.05,0.107223926885567,0.00163985206121275,0.00496123727906794
"AMZN","gjrGARCH_GARCH",0.95,"GARCH",41,903,0.0454042081949059,0.05,0.520071972228371,0.917547958844848,0.772932612633609
"AMZN","gjrGARCH_Historical",0.99,"Historical",9,903,0.00996677740863787,0.01,0.991990030572707,NA,0.453401754289516
"AMZN","gjrGARCH_Parametric",0.99,"Parametric",10,903,0.0110741971207087,0.01,0.749790242865338,NA,0.496291241815984
"AMZN","gjrGARCH_GARCH",0.99,"GARCH",9,903,0.00996677740863787,0.01,0.991990030572707,NA,0.946380861136634
